Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode,,
1251,0,0,3.02,2.08,8.27,0,0,,
1428,0,0,4.69,2.64,10.92,0,0,,
1554,0,0,2.66,3.98,8.64,0,0,,
1704,0,0,3.02,4.5,9.17,0,0,,
1855,0,0,1.28,4.61,8.27,0,0,,
2006,0,0,1.43,4.31,9.04,0,0,,
2132,0,0,1.89,6.8,9.46,0,0,,
2269,0,0,2.16,4,9.52,0,0,,
2446,0,0,1.7,3.31,9.38,0,0,,
2574,0,0,1.3,3.33,9.38,0,0,,
2722,0,0,0.72,4.67,9.86,0,0,,
2873,0,0,-1.91,1.51,10.4,0,0,,
3024,0,0,0.76,1.89,9.61,0,0,,
3150,0,0,0.9,1.14,9.94,0,0,,
3287,0,0,1.43,3.88,8.81,0,0,,
3464,0,0,1.55,3.29,9.44,0,0,,
3590,0,0,1.72,4.04,9.69,0,0,,
3740,0,0,0.76,4.82,10.65,0,0,,
3891,0,0,0.47,5.59,10.76,0,0,,
4042,0,0,-3.83,2.33,7.56,0,0,,
4170,0,0,3.5,3.12,11.3,0,0,,
4305,0,0,-2.14,4.34,9.27,0,0,,
4483,0,0,-1.03,3.96,9.38,0,0,,
4609,0,0,-1.39,3.33,9.19,0,0,,
4758,0,0,-1.45,3.33,9.25,0,0,,
4909,0,0,-1.74,2.68,9.36,0,0,,
5060,0,0,-1.36,3.35,9.42,0,0,,
5186,0,0,-0.99,3.42,10.59,0,0,,
5323,0,0,-2.05,3.73,9.46,0,0,,
5501,0,0,-0.88,2.16,9.19,0,0,,
5629,0,0,-1.68,2.54,10.23,0,0,,
5776,0,0,-1.85,1.41,8.92,0,0,,
5927,0,0,-2.12,1.24,9.54,0,0,,
6078,0,0,-0.76,1.36,6.39,0,0,,
6204,0,0,-2.75,0.68,9.17,0,0,,
6341,0,0,-1.6,0.57,10.15,0,0,,
6520,0,0,-2.83,0.09,10.09,0,0,,
6646,0,0,-2.29,-0.76,10.07,0,0,,
6794,0,0,-2.95,-1.32,10,0,0,,
6945,0,0,-1.43,-2.93,9.69,0,0,,
7071,0,0,-2.1,-3.08,9.54,0,0,,
7208,0,0,-1.59,-3.39,8.92,0,0,,
7359,0,0,-1.36,-3.67,9.21,0,0,,
7538,0,0,-1.7,-4.29,8.92,0,0,,
7664,0,0,-1.37,-4.15,8.96,0,0,,
7812,0,0,0.32,-3.52,9.73,0,0,,
7963,0,0,-0.78,-3.75,9.02,0,0,,
8089,0,0,-0.74,-4.88,8.81,0,0,,
8226,0,0,-0.84,-4.25,9,0,0,,
8377,0,0,-0.76,-3.21,8.98,0,0,,
8556,0,0,-1.64,-3.37,8.71,0,0,,
8684,0,0,-1.82,-2.41,9.1,0,0,,
8830,0,0,-1.83,-2.45,9.59,0,0,,
8981,0,0,-1.07,-2.73,9.02,0,0,,
9107,0,0,-2.14,-3.08,8.31,0,0,,
9244,0,0,-1.11,-3,9.44,0,0,,
9395,0,0,-1.2,-3.96,9.15,0,0,,
9574,0,0,-0.8,-3.39,9.21,0,0,,
9700,0,0,0.65,-3.42,9.08,0,0,,
9847,0,0,1.89,-2.87,8.85,0,0,,
9999,0,0,2.39,-2.52,9.38,0,0,,
10127,0,0,3.1,-2.89,8.56,0,0,,
10262,0,0,4.02,-1.95,8.21,0,0,,
10413,0,0,4.29,-1.14,9.52,0,0,,
10592,0,0,4.08,-0.93,8.43,0,0,,
10718,0,0,4.08,-0.88,9.13,0,0,,
10866,0,0,4.73,-0.74,8.25,0,0,,
11017,0,0,4.27,-0.61,8.6,0,0,,
11143,0,0,4.59,-0.32,8.87,0,0,,
11280,0,0,5.42,0.22,7.64,0,0,,
11431,0,0,5.26,0.61,8.48,0,0,,
11611,0,0,5.19,1.36,8.18,0,0,,
11737,0,0,5.24,1.82,7.89,0,0,,
11884,0,0,5.34,1.53,7.49,0,0,,
12035,0,0,5.4,2.5,8.31,0,0,,
12161,0,0,5.13,2.49,8,0,0,,
12298,0,0,5,2.18,7.83,0,0,,
12449,0,0,5.23,2.5,7.98,0,0,,
12633,0,0,5.36,2.49,8.04,0,0,,
12759,0,0,5.32,2.45,7.93,0,0,,
12902,0,0,5.3,3.19,7.85,0,0,,
13053,0,0,5.13,2.62,8.04,0,0,,
13181,0,0,5.36,2.68,8,0,0,,
13316,0,0,5.32,2.87,7.93,0,0,,
13467,0,0,5.07,2.56,7.56,0,0,,
13645,0,0,5.34,2.66,7.95,0,0,,
13771,0,0,5.15,2.52,7.91,0,0,,
13920,0,0,5.38,2.91,7.83,0,0,,
14071,0,0,5.67,1.13,7.85,0,0,,
14197,0,0,5.15,2.72,7.87,0,0,,
14334,0,0,5.26,2.39,8.02,0,0,,
14485,0,0,5.28,2.22,7.97,0,0,,
14665,0,0,5.05,2.33,7.98,0,0,,
14791,0,0,5.55,1.01,7.58,0,0,,
14938,0,0,5.69,0.61,7.91,0,0,,
15064,0,0,6.11,-0.93,7.83,0,0,,
15201,0,0,6.11,-1.07,8.27,0,0,,
15352,0,0,5.51,-2.03,7.91,0,0,,
15503,0,0,5.26,-2.96,7.56,0,0,,
15682,0,0,5.32,-3.27,7.74,0,0,,
15808,0,0,5.21,-3.12,7.45,0,0,,
15956,0,0,5.03,-2.96,7.52,0,0,,
16082,0,0,5,-3.08,7.6,0,0,,
16219,0,0,4.92,-2.89,7.37,0,0,,
16370,0,0,5.23,-2.33,7.14,0,0,,
16521,0,0,7.37,-3.37,6.22,0,0,,
16700,0,0,8.37,-2.45,3.18,0,0,,
16826,0,0,9.38,-2.33,1.39,0,0,,
16974,0,0,9.86,-2.54,-1.91,0,0,,
17100,0,0,8.66,-1.43,-3.65,0,0,,
17237,0,0,6.13,-3.02,-6.34,0,0,,
17388,0,0,8.2,-3.19,-6.22,0,0,,
17539,0,0,7.54,-1.16,-5.44,0,0,,
17721,0,0,7.58,-1.62,-5.88,0,0,,
17847,0,0,8,-1.37,-5.17,0,0,,
17992,0,0,9.42,-1.28,-4,0,0,,
18118,0,0,8.98,-1.3,-3.73,0,0,,
